Price,close
Ticker,^GSPC
date,
2015-01-02,2058.199951
2015-01-05,2020.579956
2015-01-06,2002.609985
2015-01-07,2025.900024
2015-01-08,2062.139893
2015-01-09,2044.810059
2015-01-12,2028.260010
2015-01-13,2023.030029
2015-01-14,2011.270020
2015-01-15,1992.670044
2015-01-16,2019.420044
2015-01-19,2019.420044
2015-01-20,2022.550049
2015-01-21,2032.119995
2015-01-22,2063.149902
2015-01-23,2051.820068
2015-01-26,2057.090088
2015-01-27,2029.550049
2015-01-28,2002.160034
2015-01-29,2021.250000
2015-01-30,1994.989990
2015-02-02,2020.849976
2015-02-03,2050.030029
2015-02-04,2041.510010
2015-02-05,2062.520020
2015-02-06,2055.469971
2015-02-09,2046.739990
2015-02-10,2068.590088
2015-02-11,2068.530029
2015-02-12,2088.479980
2015-02-13,2096.989990
2015-02-16,2096.989990
2015-02-17,2100.340088
2015-02-18,2099.679932
2015-02-19,2097.449951
2015-02-20,2110.300049
2015-02-23,2109.659912
2015-02-24,2115.479980
2015-02-25,2113.860107
2015-02-26,2110.739990
2015-02-27,2104.500000
2015-03-02,2117.389893
2015-03-03,2107.780029
2015-03-04,2098.530029
2015-03-05,2101.040039
2015-03-06,2071.260010
2015-03-09,2079.429932
2015-03-10,2044.160034
2015-03-11,2040.239990
2015-03-12,2065.949951
2015-03-13,2053.399902
2015-03-16,2081.189941
2015-03-17,2074.280029
2015-03-18,2099.500000
2015-03-19,2089.270020
2015-03-20,2108.100098
2015-03-23,2104.419922
2015-03-24,2091.500000
2015-03-25,2061.050049
2015-03-26,2056.149902
2015-03-27,2061.020020
2015-03-30,2086.239990
2015-03-31,2067.889893
2015-04-01,2059.689941
2015-04-02,2066.959961
2015-04-03,2066.959961
2015-04-06,2080.620117
2015-04-07,2076.330078
2015-04-08,2081.899902
2015-04-09,2091.179932
2015-04-10,2102.060059
2015-04-13,2092.429932
2015-04-14,2095.840088
2015-04-15,2106.629883
2015-04-16,2104.989990
2015-04-17,2081.179932
2015-04-20,2100.399902
2015-04-21,2097.290039
2015-04-22,2107.959961
2015-04-23,2112.929932
2015-04-24,2117.689941
2015-04-27,2108.919922
2015-04-28,2114.760010
2015-04-29,2106.850098
2015-04-30,2085.510010
2015-05-01,2108.290039
2015-05-04,2114.489990
2015-05-05,2089.459961
2015-05-06,2080.149902
2015-05-07,2088.000000
2015-05-08,2116.100098
2015-05-11,2105.330078
2015-05-12,2099.120117
2015-05-13,2098.479980
2015-05-14,2121.100098
2015-05-15,2122.729980
2015-05-18,2129.199951
2015-05-19,2127.830078
2015-05-20,2125.850098
2015-05-21,2130.820068
2015-05-22,2126.060059
2015-05-25,2126.060059
2015-05-26,2104.199951
2015-05-27,2123.479980
2015-05-28,2120.790039
2015-05-29,2107.389893
2015-06-01,2111.729980
2015-06-02,2109.600098
2015-06-03,2114.070068
2015-06-04,2095.840088
2015-06-05,2092.830078
2015-06-08,2079.280029
2015-06-09,2080.149902
2015-06-10,2105.199951
2015-06-11,2108.860107
2015-06-12,2094.110107
2015-06-15,2084.429932
2015-06-16,2096.290039
2015-06-17,2100.439941
2015-06-18,2121.239990
2015-06-19,2109.989990
2015-06-22,2122.850098
2015-06-23,2124.199951
2015-06-24,2108.580078
2015-06-25,2102.310059
2015-06-26,2101.489990
2015-06-29,2057.639893
